seq,1AB,2AB,3AB,4AB,5AB,6AB,7AB
ff6a63aa3a8877a90e31ca73fa5fbdd7,0,0.278496121,0,0,0,0,0
c1f81147c6ba8b689b8e090809cd5332,0,0.188979511,0,0,0,0,0
5ef194c523178b714e804757a3218c3a,0,0.04973145,0,0,0,0,0
0fca954bc7d9e235bb9204087bcdbe9d,0,0,0,0,0,0,0.016636167
520d89ef4ce2ba808eed3e2d9a310649,0,0.01989258,0,0,0,0,0
7141921d9117df050c7e3d64516ff8c7,0,0.04973145,0,0,0,0,0
057bcefe7d185d0daf7b610144b1fa59,0,0,0,0,0,0,0.083180835
9f86297104372f6378c6bf3dc1a8e8ec,0.084643289,0,0,0,0,0,0.257860589
90a5e55fa876aa0bf69ffe16087cd920,0,0.149194351,0,0,0,0,0.191315921
69e069d107e0deb8007bb1ae28c72dbf,0,0,0.042127435,0,0,0,0
23d185302357f6837cd05b5a4ea8a752,0,0.278496121,0,0,0,0,0
c6d1c8a43afe01b7401a3595ad0a5640,0,0.238710961,0,0,0,0,0
21303e01cd67416ee96438f8033c47ec,0,0.258603541,0,0,0,0,0
fa056a5c91b0b397027112ce824c8563,0,0.228764671,0,0,0,0,0
d8f3f4d8d0a6498d307679923623a9e1,0,0.11935548,0,0,0,0,0
c8e89e914c336fba512846828b84f740,0,0.05967774,0,0,0,0,0
2b10a074b0f59b702c22aff7e6b39787,0,0.258603541,0,0,0,0,0
873b71b30dcfcdbdf2e7080dd9db241f,0,0.0994629,0,0,0,0,0.133089336
86ce8e836244a989d26315bf84d75d99,0,0,0,0,0,0,0.049908501
1d4b9f3ddf33afdf5308213897846090,0,2.307539288,0,0,0,0,0.939943437
c443676f32a4347c0a752bad5a62c30e,0,0.149194351,0,0,0,0,0
6ed1f425cd7d234afdf0906b91293ae2,0,0,0,0,0,0,0.049908501
da42156b748b0af3ebc3c6268720755e,0,0,0,0,0,0,0.033272334
9cc5b63b74154fc7bcdf7e8796e5d2de,0,0.02983887,0,0,0,0,0
6504a13e2edb3328fffb344daf7b2ee3,0,0.149194351,0,0,0,0,0.049908501
a41371aa833164c1e707004fdfb16b36,0,0.169086931,0,0,0,0,0.091498919
edb1b7dc98830cdfb83ef9466ad4aaaa,0,0,0,0,0,0,0.091498919
43c944338e9f3b7dbdf05108887a754a,0,0.198925801,0,0,0,0,0
8a652928ef13cc45fe6fad624a6fa1d2,0,0.228764671,0,0,0,0,0
f8341190bb77698ac02db7d78a5d5ea8,0,0.179033221,0,0,0,0,0
ab4d207ba005958298be140605c5a8fb,0,0.159140641,0,0,0,0,0
04bc2a095282907ef4df7a2a9447166f,0,0.198925801,0,0,0,0,0
faf8523a598758d2451323106cf28b7c,0,0,0,0,0,0,0.149725503
758b8307071957eb86c89a180b187482,0,0.566938532,0,0,0,0,0.133089336
ae53fe95ad7f469e3187a126d6098100,0,0.258603541,0,0,0,0,0.465812677
ca283eec31cc19396e15323c87386f2a,0,0.02983887,0,0,0,0,0
3193b7b66be51b083b913c3134f6fc50,0,0.01989258,0,0,0,0,0
8fa90e60ddaccabffcd68f6a481318a2,0,0.10940919,0,0,0,0,0.108135086
aad81ac0351dcd619b00c97e690dfa5f,0,0,0,0,0,0,0.099817002
798933fd16ab772e1e547b6af3461e47,0,0,0,0,0,0,0.041590418
fd4dc2d3654041c497b3d8e6cee4d18b,0,1.511836085,0,0,0,0,0.299451006
19cfc988be2bc698e4e8e24f3c017dad,0,0.11935548,0,0,0,0,0.133089336
9402a88039d28ae63134690e54bc5af7,0,0.179033221,0,0,0,0,0
592e037654532013ab7258e4ae16b0b5,0,0,0,0,0,0,0.049908501
3bb685a144d6b9fd08b8df1ba0ae955e,0,0.04973145,0,0,0,0,0
